symbol,ref_count,example1,example2,example3
SOND,212,/Users/j.harris/code/cruisin-usa/STABLE.INC:27,/Users/j.harris/code/cruisin-usa/STABLE.INC:29,/Users/j.harris/code/cruisin-usa/STABLE.INC:30
_MODE,178,/Users/j.harris/code/cruisin-usa/OBJ.ASM:828,/Users/j.harris/code/cruisin-usa/HEADS.ASM:213,/Users/j.harris/code/cruisin-usa/DIAG.ASM:206
ENDM,137,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1193,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1512,/Users/j.harris/code/cruisin-usa/DIAG.ASM:3781
REG,117,/Users/j.harris/code/cruisin-usa/INTRO.ASM:283,/Users/j.harris/code/cruisin-usa/INTRO.ASM:287,/Users/j.harris/code/cruisin-usa/INTRO.ASM:290
LDFGT,111,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:106,/Users/j.harris/code/cruisin-usa/WHEEL.ASM:122,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:448
LDIEQ,93,/Users/j.harris/code/cruisin-usa/OBJ.ASM:611,/Users/j.harris/code/cruisin-usa/OBJ.ASM:614,/Users/j.harris/code/cruisin-usa/OBJ.ASM:717
_ARPS,90,/Users/j.harris/code/cruisin-usa/MAP.ASM:1256,/Users/j.harris/code/cruisin-usa/MAP.ASM:1257,/Users/j.harris/code/cruisin-usa/MAP.ASM:1261
MPYF3,83,/Users/j.harris/code/cruisin-usa/COLLA.ASM:826,/Users/j.harris/code/cruisin-usa/COLLA.ASM:828,/Users/j.harris/code/cruisin-usa/COLLA.ASM:829
NFRAMES,79,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:509,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:540,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:604
line,60,/Users/j.harris/code/cruisin-usa/LINE.ASM:38,/Users/j.harris/code/cruisin-usa/LINE.ASM:45,/Users/j.harris/code/cruisin-usa/LINE.ASM:49
HEAD2HEAD_ON,58,/Users/j.harris/code/cruisin-usa/MAP.ASM:1331,/Users/j.harris/code/cruisin-usa/MAP.ASM:1578,/Users/j.harris/code/cruisin-usa/BONUS.ASM:523
sym,58,/Users/j.harris/code/cruisin-usa/LINE.ASM:11,/Users/j.harris/code/cruisin-usa/LINE.ASM:24,/Users/j.harris/code/cruisin-usa/LINE.ASM:25
MACS,56,/Users/j.harris/code/cruisin-usa/OBJ.ASM:15,/Users/j.harris/code/cruisin-usa/HEADS.ASM:9,/Users/j.harris/code/cruisin-usa/MAP.ASM:9
_countdown,55,/Users/j.harris/code/cruisin-usa/BONUS.ASM:449,/Users/j.harris/code/cruisin-usa/BONUS.ASM:955,/Users/j.harris/code/cruisin-usa/INTRO.ASM:395
LDIZ,55,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1010,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1012,/Users/j.harris/code/cruisin-usa/OBJ.ASM:1014
BNZD,54,/Users/j.harris/code/cruisin-usa/OBJ.ASM:807,/Users/j.harris/code/cruisin-usa/OBJ.ASM:820,/Users/j.harris/code/cruisin-usa/OBJ.ASM:923
GLOBALS,54,/Users/j.harris/code/cruisin-usa/OBJ.ASM:17,/Users/j.harris/code/cruisin-usa/HEADS.ASM:16,/Users/j.harris/code/cruisin-usa/MAP.ASM:15
VUNIT,53,/Users/j.harris/code/cruisin-usa/OBJ.ASM:9,/Users/j.harris/code/cruisin-usa/HEADS.ASM:12,/Users/j.harris/code/cruisin-usa/MAP.ASM:12
PLYCAR,51,/Users/j.harris/code/cruisin-usa/MAP.ASM:1248,/Users/j.harris/code/cruisin-usa/BONUS.ASM:236,/Users/j.harris/code/cruisin-usa/COLLA.ASM:1571
SYS,51,/Users/j.harris/code/cruisin-usa/OBJ.ASM:14,/Users/j.harris/code/cruisin-usa/HEADS.ASM:15,/Users/j.harris/code/cruisin-usa/MAP.ASM:14
ADDF3,47,/Users/j.harris/code/cruisin-usa/COLLA.ASM:830,/Users/j.harris/code/cruisin-usa/COLLA.ASM:833,/Users/j.harris/code/cruisin-usa/COLLA.ASM:838
DIPRAM,46,/Users/j.harris/code/cruisin-usa/MAP.ASM:1386,/Users/j.harris/code/cruisin-usa/DIAG.ASM:966,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1007
MPROC,46,/Users/j.harris/code/cruisin-usa/OBJ.ASM:10,/Users/j.harris/code/cruisin-usa/HEADS.ASM:10,/Users/j.harris/code/cruisin-usa/MAP.ASM:11
OBJECTS,46,/Users/j.harris/code/cruisin-usa/HEADS.ASM:19,/Users/j.harris/code/cruisin-usa/MAP.ASM:18,/Users/j.harris/code/cruisin-usa/DIAG.ASM:19
SYSID,44,/Users/j.harris/code/cruisin-usa/OBJ.ASM:13,/Users/j.harris/code/cruisin-usa/HEADS.ASM:14,/Users/j.harris/code/cruisin-usa/MAP.ASM:13
MEM,43,/Users/j.harris/code/cruisin-usa/MACS.EQU:112,/Users/j.harris/code/cruisin-usa/MACS.EQU:114,/Users/j.harris/code/cruisin-usa/MACS.EQU:125
PALL,43,/Users/j.harris/code/cruisin-usa/OBJ.ASM:12,/Users/j.harris/code/cruisin-usa/HEADS.ASM:18,/Users/j.harris/code/cruisin-usa/MAP.ASM:17
LDINZ,42,/Users/j.harris/code/cruisin-usa/DIAG.ASM:662,/Users/j.harris/code/cruisin-usa/DIAG.ASM:934,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1009
COUNT,40,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:180,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:208,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:211
SUBRF,40,/Users/j.harris/code/cruisin-usa/MAP.ASM:813,/Users/j.harris/code/cruisin-usa/MAP.ASM:821,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:305
PLYCBLK,39,/Users/j.harris/code/cruisin-usa/MAP.ASM:1467,/Users/j.harris/code/cruisin-usa/MAP.ASM:1582,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:318
START_HIT,38,/Users/j.harris/code/cruisin-usa/BONUS.ASM:506,/Users/j.harris/code/cruisin-usa/BONUS.ASM:603,/Users/j.harris/code/cruisin-usa/BONUS.ASM:716
_newbut,37,/Users/j.harris/code/cruisin-usa/DIAG.ASM:29,/Users/j.harris/code/cruisin-usa/DIAG.ASM:37,/Users/j.harris/code/cruisin-usa/DIAG.ASM:613
BN,36,/Users/j.harris/code/cruisin-usa/HEADS.ASM:122,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:733,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:820
OBJ,36,/Users/j.harris/code/cruisin-usa/OBJ.ASM:11,/Users/j.harris/code/cruisin-usa/HEADS.ASM:11,/Users/j.harris/code/cruisin-usa/MAP.ASM:10
SYSCNTL,36,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:340,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:342,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:349
V,35,/Users/j.harris/code/cruisin-usa/CMOS.ASM:675,/Users/j.harris/code/cruisin-usa/CMOS.ASM:683,/Users/j.harris/code/cruisin-usa/CMOS.ASM:689
BUTTON_STATUS,33,/Users/j.harris/code/cruisin-usa/DIAG.ASM:267,/Users/j.harris/code/cruisin-usa/DIAG.ASM:3722,/Users/j.harris/code/cruisin-usa/DIAG.ASM:3723
X1,32,/Users/j.harris/code/cruisin-usa/DIAG.EQU:93,/Users/j.harris/code/cruisin-usa/DIAG.EQU:94,/Users/j.harris/code/cruisin-usa/DIAG.EQU:102
Y1,32,/Users/j.harris/code/cruisin-usa/DIAG.EQU:93,/Users/j.harris/code/cruisin-usa/DIAG.EQU:95,/Users/j.harris/code/cruisin-usa/DIAG.EQU:102
ref,31,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1088,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1122,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1741
LDIGE,30,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1441,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2097,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2099
MOVEIN_OFFSET,30,/Users/j.harris/code/cruisin-usa/MAP.ASM:1255,/Users/j.harris/code/cruisin-usa/MAP.ASM:1260,/Users/j.harris/code/cruisin-usa/MAP.ASM:1347
SNDSTR,30,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3179,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3181,/Users/j.harris/code/cruisin-usa/PLYR.ASM:3240
BONUS_WAVE,29,/Users/j.harris/code/cruisin-usa/BONUS.ASM:30,/Users/j.harris/code/cruisin-usa/BONUS.ASM:184,/Users/j.harris/code/cruisin-usa/BONUS.ASM:214
CAMVIEW,29,/Users/j.harris/code/cruisin-usa/COLLA.ASM:29,/Users/j.harris/code/cruisin-usa/COLLA.ASM:2108,/Users/j.harris/code/cruisin-usa/COLLA.ASM:3565
EXP,29,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:182,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:204,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:210
LABEL,29,/Users/j.harris/code/cruisin-usa/DIAG.ASM:1188,/Users/j.harris/code/cruisin-usa/MACS.EQU:80,/Users/j.harris/code/cruisin-usa/MACS.EQU:85
LDINE,28,/Users/j.harris/code/cruisin-usa/MAP.ASM:1299,/Users/j.harris/code/cruisin-usa/DIAG.ASM:2151,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:251
TEMP,28,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:179,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:202,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:203
CHOSEN_RACE,27,/Users/j.harris/code/cruisin-usa/COMMDRNE.ASM:260,/Users/j.harris/code/cruisin-usa/BONUS.ASM:857,/Users/j.harris/code/cruisin-usa/BONUS.ASM:888
RETSNZ,27,/Users/j.harris/code/cruisin-usa/OBJ.ASM:830,/Users/j.harris/code/cruisin-usa/DIAG.ASM:900,/Users/j.harris/code/cruisin-usa/DIAG.ASM:4121
SUICIDE,27,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:776,/Users/j.harris/code/cruisin-usa/COMMDRNE.ASM:101,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:127
X2,26,/Users/j.harris/code/cruisin-usa/DIAG.EQU:93,/Users/j.harris/code/cruisin-usa/DIAG.EQU:96,/Users/j.harris/code/cruisin-usa/DIAG.EQU:102
Y2,26,/Users/j.harris/code/cruisin-usa/DIAG.EQU:93,/Users/j.harris/code/cruisin-usa/DIAG.EQU:97,/Users/j.harris/code/cruisin-usa/DIAG.EQU:102
COMMINTM,25,/Users/j.harris/code/cruisin-usa/COMM.ASM:99,/Users/j.harris/code/cruisin-usa/COMM.ASM:100,/Users/j.harris/code/cruisin-usa/COMM.ASM:101
INFIN_CORRECT,25,/Users/j.harris/code/cruisin-usa/HOTTUB.ASM:53,/Users/j.harris/code/cruisin-usa/BONUS.ASM:107,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:285
START_POS,25,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1093,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1094,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1095
DELTA,24,/Users/j.harris/code/cruisin-usa/COMMDRNE.ASM:21,/Users/j.harris/code/cruisin-usa/BONUS.ASM:21,/Users/j.harris/code/cruisin-usa/COLLA.ASM:22
TUNE_IDX,24,/Users/j.harris/code/cruisin-usa/INTRO.ASM:921,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:323,/Users/j.harris/code/cruisin-usa/SETUPS.ASM:356
_AIVI,23,/Users/j.harris/code/cruisin-usa/MAP.ASM:1413,/Users/j.harris/code/cruisin-usa/MAP.ASM:1415,/Users/j.harris/code/cruisin-usa/MAP.ASM:1417
POSITION,23,/Users/j.harris/code/cruisin-usa/BONUS.ASM:208,/Users/j.harris/code/cruisin-usa/BONUS.ASM:271,/Users/j.harris/code/cruisin-usa/BONUS.ASM:533
CHOSEN_VEHICLE,22,/Users/j.harris/code/cruisin-usa/INTRO.ASM:31,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1351,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1438
COIN_TABLE,22,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:46,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:350,/Users/j.harris/code/cruisin-usa/COINTAB.ASM:1523
NEGI,22,/Users/j.harris/code/cruisin-usa/MAP.ASM:1359,/Users/j.harris/code/cruisin-usa/MAP.ASM:1534,/Users/j.harris/code/cruisin-usa/DIAG.ASM:3557
BZD,21,/Users/j.harris/code/cruisin-usa/OBJ.ASM:791,/Users/j.harris/code/cruisin-usa/OBJ.ASM:853,/Users/j.harris/code/cruisin-usa/OBJ.ASM:883
DD_SLP,21,/Users/j.harris/code/cruisin-usa/DRONES.ASM:214,/Users/j.harris/code/cruisin-usa/DRONES.ASM:230,/Users/j.harris/code/cruisin-usa/DRONES.ASM:402
DD_VAR,21,/Users/j.harris/code/cruisin-usa/DRONES.ASM:215,/Users/j.harris/code/cruisin-usa/DRONES.ASM:228,/Users/j.harris/code/cruisin-usa/DRONES.ASM:400
pal,21,/Users/j.harris/code/cruisin-usa/BONUS.ASM:1272,/Users/j.harris/code/cruisin-usa/INTRO.ASM:2533,/Users/j.harris/code/cruisin-usa/INTRO.ASM:3694
RACE_MODE,21,/Users/j.harris/code/cruisin-usa/SYS.EQU:22,/Users/j.harris/code/cruisin-usa/BONUS.ASM:658,/Users/j.harris/code/cruisin-usa/BONUS.ASM:674
asg,20,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:178,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:179,/Users/j.harris/code/cruisin-usa/ROUTS.ASM:180
BD,20,/Users/j.harris/code/cruisin-usa/OBJ.ASM:372,/Users/j.harris/code/cruisin-usa/COLLA.ASM:302,/Users/j.harris/code/cruisin-usa/COLLA.ASM:1202
C30,20,/Users/j.harris/code/cruisin-usa/DIAG.ASM:9,/Users/j.harris/code/cruisin-usa/CMOS.ASM:11,/Users/j.harris/code/cruisin-usa/MEMTEST.ASM:20
NOLONG_VEHICLES,20,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:110,/Users/j.harris/code/cruisin-usa/BONUS.ASM:777,/Users/j.harris/code/cruisin-usa/RHO.ASM:45
START_RADY,20,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1142,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1375,/Users/j.harris/code/cruisin-usa/INTRO.ASM:1621
SUSPEND_MODE,20,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:207,/Users/j.harris/code/cruisin-usa/SIGMA.ASM:489,/Users/j.harris/code/cruisin-usa/COLLA.ASM:2209
_ATTR_MODE,19,/Users/j.harris/code/cruisin-usa/BONUS.ASM:1110,/Users/j.harris/code/cruisin-usa/INTRO.ASM:232,/Users/j.harris/code/cruisin-usa/INTRO.ASM:779
