module	label	line	op_offset	code_words_until_next_label	executable_start	inferred_addr	status	known_name	known_addr	before_label	before_addr	before_delta	after_label	after_addr	after_delta	nearest_anchor
ATTRDRNE	ATTRACT_DELTA	73	0	34	1	0x000055C4	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1098	LOAD_ATTR_LEG
ATTRDRNE	aDELTA_LOOP	116	34	2	1	0x000055E6	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1064	LOAD_ATTR_LEG
ATTRDRNE	ADELTA2	120	36	7	1	0x000055E8	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1062	LOAD_ATTR_LEG
ATTRDRNE	ADELTA2A	128	43	3	1	0x000055EF	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1055	LOAD_ATTR_LEG
ATTRDRNE	DELTA_LOOP_ENTRY	134	46	4	1	0x000055F2	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1052	LOAD_ATTR_LEG
ATTRDRNE	sDELTA_LOOP	142	50	6	1	0x000055F6	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1048	LOAD_ATTR_LEG
ATTRDRNE	NO_OBJINS	149	56	4	1	0x000055FC	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1042	LOAD_ATTR_LEG
ATTRDRNE	LOGO_PROC	167	60	20	1	0x00005600	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1038	LOAD_ATTR_LEG
ATTRDRNE	LOGO_LOOP1	192	80	25	1	0x00005614	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	1018	LOAD_ATTR_LEG
ATTRDRNE	LOGO2	222	105	24	1	0x0000562D	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	993	LOAD_ATTR_LEG
ATTRDRNE	LOGOX	250	129	1	1	0x00005645	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	969	LOAD_ATTR_LEG
ATTRDRNE	GET_LIST_ADDR	254	130	4	1	0x00005646	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	968	LOAD_ATTR_LEG
ATTRDRNE	INIT_STARTING	314	134	15	1	0x0000564A	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	964	LOAD_ATTR_LEG
ATTRDRNE	INIT_WATCH	334	149	6	1	0x00005659	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	949	LOAD_ATTR_LEG
ATTRDRNE	INIW1	342	155	6	1	0x0000565F	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	943	LOAD_ATTR_LEG
ATTRDRNE	INIW2	349	161	50	1	0x00005665	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	937	LOAD_ATTR_LEG
ATTRDRNE	INIT_REVERS_CUP	411	211	15	1	0x00005697	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	887	LOAD_ATTR_LEG
ATTRDRNE	INIT_CATCHUP	430	226	15	1	0x000056A6	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	872	LOAD_ATTR_LEG
ATTRDRNE	INIT_LEAD	448	241	15	1	0x000056B5	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	857	LOAD_ATTR_LEG
ATTRDRNE	INITROAD_VIEW	466	256	22	1	0x000056C4	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	842	LOAD_ATTR_LEG
ATTRDRNE	TRY_AGAIN	495	278	6	1	0x000056DA	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	820	LOAD_ATTR_LEG
ATTRDRNE	OK_FOUNDIT	502	284	11	1	0x000056E0	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	814	LOAD_ATTR_LEG
ATTRDRNE	WATCH_VIEW	521	295	11	1	0x000056EB	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	803	LOAD_ATTR_LEG
ATTRDRNE	WV1	534	306	21	1	0x000056F6	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	792	LOAD_ATTR_LEG
ATTRDRNE	NO_WHOOSH	556	327	1	1	0x0000570B	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	771	LOAD_ATTR_LEG
ATTRDRNE	REV_ROAD_VIEW	563	328	9	1	0x0000570C	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	770	LOAD_ATTR_LEG
ATTRDRNE	ROAD_VIEW	578	337	13	1	0x00005715	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	761	LOAD_ATTR_LEG
ATTRDRNE	RV1A	595	350	7	1	0x00005722	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	748	LOAD_ATTR_LEG
ATTRDRNE	RV1B	604	357	9	1	0x00005729	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	741	LOAD_ATTR_LEG
ATTRDRNE	RV1	615	366	4	1	0x00005732	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	732	LOAD_ATTR_LEG
ATTRDRNE	LEAD_VIEW	622	370	9	1	0x00005736	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	728	LOAD_ATTR_LEG
ATTRDRNE	MOVE_ROAD_CAMERA	636	379	5	1	0x0000573F	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	719	LOAD_ATTR_LEG
ATTRDRNE	MRC1	642	384	43	1	0x00005744	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	714	LOAD_ATTR_LEG
ATTRDRNE	USE_SLOPE	693	427	30	1	0x0000576F	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	671	LOAD_ATTR_LEG
ATTRDRNE	NO_SLOPE	727	457	6	1	0x0000578D	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	641	LOAD_ATTR_LEG
ATTRDRNE	MRCX	736	463	1	1	0x00005793	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	635	LOAD_ATTR_LEG
ATTRDRNE	NEXT_ROAD	745	464	21	1	0x00005794	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	634	LOAD_ATTR_LEG
ATTRDRNE	fcrx	777	485	1	1	0x000057A9	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	613	LOAD_ATTR_LEG
ATTRDRNE	GETCAMDIR	786	486	42	1	0x000057AA	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	612	LOAD_ATTR_LEG
ATTRDRNE	SET_LANE	838	528	6	1	0x000057D4	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	570	LOAD_ATTR_LEG
ATTRDRNE	SL1	845	534	9	1	0x000057DA	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	564	LOAD_ATTR_LEG
ATTRDRNE	SL2	856	543	2	1	0x000057E3	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	555	LOAD_ATTR_LEG
ATTRDRNE	INIT_LANE	860	545	3	1	0x000057E5	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	553	LOAD_ATTR_LEG
ATTRDRNE	DO_LANE_POS	869	548	25	1	0x000057E8	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	550	LOAD_ATTR_LEG
ATTRDRNE	GET_ROAD_RADY	904	573	21	1	0x00005801	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	525	LOAD_ATTR_LEG
ATTRDRNE	FIND_RACER	937	594	11	1	0x00005816	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	504	LOAD_ATTR_LEG
ATTRDRNE	FR0	950	605	3	1	0x00005821	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	493	LOAD_ATTR_LEG
ATTRDRNE	FR1	955	608	12	1	0x00005824	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	490	LOAD_ATTR_LEG
ATTRDRNE	FR2A	972	620	3	1	0x00005830	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	478	LOAD_ATTR_LEG
ATTRDRNE	FR2	976	623	3	1	0x00005833	backward_extrapolated						LOAD_ATTR_LEG	0x00005A0E	475	LOAD_ATTR_LEG
