module	label	label_norm	address	map_name
ATTRACTA	_MIDWAYSPIN	_MIDWAYSPIN	0x0000A966	_MIDWAYSPIN
ATTRDRNE	ATTRACT_DELTA	ATTRACT_DELTA	0x000055C3	ATTRACT_DELTA
AUDITS	COMPUTE_FREEGAMES_PRCNT	COMPUTE_FREEGAMES_PRCNT@AUDITS	0x00001419	COMPUTE_FREEGAMES_PRCNT
BACKGRND	FIND_STARTING_VALUES	FIND_STARTING_VALUES	0x00003F80	FIND_STARTING_VALUES
BONUS	BONUS_SANFRAN	BONUS_SANFRAN@BONUS	0x00003966	BONUS_SANFRAN@BONUS
CHOPPER	DIRECT_ATTACK	DIRECT_ATTACK@CHOPPER	0x00007C6E	DIRECT_ATTACK@CHOPPER
CMOS	HSTDEC	HSTDEC	0x00009962	HSTDEC
COIN	JAJA3	JAJA3@COIN	0x0000735B	JAJA3@COIN
COLLA	CAMSCAN	CAMSCAN	0x00001F8B	CAMSCAN
COMM	COMM_INIT	COMM_INIT	0x00007F3F	COMM_INIT
COMMDRNE	COMM_DRONE	COMM_DRONE	0x0000A699	COMM_DRONE
COMMQ	CLEAR_LINK	CLEAR_LINK	0x0000766B	CLEAR_LINK
COMP	INPUT_BITS	INPUT_BITS@COMP	0x0000A2DB	INPUT_BITS@COMP
CUSA	_c_int00	_c_int00	0x00004AE6	_c_int00
DELTA	DELTA_OINIT	DELTA_OINIT	0x0000AE6A	DELTA_OINIT
DIAG	WT_START	WT_START@DIAG	0x000005F6	WT_START@DIAG
DIRQ	DIRQ	DIRQ	0x00000064	DIRQ
DRONES	POSITION_FINDER	POSITION_FINDER	0x000065CA	POSITION_FINDER
EFFECTS	SCREENWIPE_OPEN	SCREENWIPE_OPEN	0x0000B09F	SCREENWIPE_OPEN
ERROR	ERROR_LOG	ERROR_LOG	0x0000AB4A	ERROR_LOG
FLAME	FLAME_PRC	FLAME_PRC	0x0000ADC3	FLAME_PRC
FONT1A	ENABLEGIE	ENABLEGIE	0x0000A75C	ENABLEGIE
HEADS	TEXTDELER	TEXTDELER@HEADS	0x0000A1A4	TEXTDELER
HOTTUB	HOTTUB_SCENE	HOTTUB_SCENE	0x000089A2	HOTTUB_SCENE
HPMATH	_HPsin	_HPsin	0x0000B04A	_HPsin
HSTDP	ENTER_INITIALS	ENTER_INITIALS	0x000031A6	ENTER_INITIALS
HUD	MOVEIN_HUD_EQUIP	MOVEIN_HUD_EQUIP	0x00009D0E	MOVEIN_HUD_EQUIP
INFIN	FIND_HIGHEST_ROADY	FIND_HIGHEST_ROADY@INFIN	0x00008212	FIND_HIGHEST_ROADY@INFIN
INTRO	HEAD2HEAD_LOGO_WAIT	HEAD2HEAD_LOGO_WAIT	0x0000154D	HEAD2HEAD_LOGO_WAIT
LEG	LEG_INIT	LEG_INIT	0x0000AA60	LEG_INIT
LINE	_rectangle	_rectangle	0x0000AC2C	_rectangle
MAP	UNFOLDMAP	UNFOLDMAP	0x00005E0B	UNFOLDMAP
MATH	_COSI	_COSI	0x0000952D	_COSI
MEMTEST	TEST_STATIC_CHIPS	TEST_STATIC_CHIPS	0x00006300	TEST_STATIC_CHIPS
MOTION	INITIALIZATION_MOTION_CHECK	INITIALIZATION_MOTION_CHECK	0x00004541	INITIALIZATION_MOTION_CHECK
MPROC	PRC_DEBUG_CHECK	PRC_DEBUG_CHECK@MPROC	0x0000A86E	PRC_DEBUG_CHECK
OBJ	OBJ_INIT	OBJ_INIT	0x00007016	OBJ_INIT
OVERLAY	SECTION_ROUTINE	SECTION_ROUTINE	0x0000ACFA	SECTION_ROUTINE
PALL	PAL_INIT	PAL_INIT	0x00009EAB	PAL_INIT
PLYR	GETCARPARAM	GETCARPARAM@PLYR	0x00002939	GETCARPARAM@PLYR
RACER	DIFF_CHANGE	DIFF_CHANGE	0x000050B5	DIFF_CHANGE
RHO	RHO_START	RHO_START	0x0000978C	RHO_START
ROADBLCK	INIT_RDDEBRIS	INIT_RDDEBRIS	0x0000AF85	INIT_RDDEBRIS
ROADKILL	PLYRROADKILL	PLYRROADKILL	0x00006946	PLYRROADKILL
ROUTS	DIV_F	DIV_F	0x0000A534	DIV_F
RROAD	RRSTART_ENGINE	RRSTART_ENGINE	0x00009B6E	RRSTART_ENGINE
SETUPS	CLEANUP_PALS	CLEANUP_PALS	0x00008C0C	CLEANUP_PALS
SIGMA	SIGMA_DRONE	SIGMA_DRONE	0x0000A42A	SIGMA_DRONE
SMOKE	SMOKE_PROC	SMOKE_PROC	0x000084B8	SMOKE_PROC
SND	RADIO_SHOW	RADIO_SHOW@SND	0x000090E1	RADIO_SHOW@SND
TEXT	TEXT_INIT	TEXT_INIT	0x00007973	TEXT_INIT
TOTALA	_rdma	_rdma	0x0000AEFC	_rdma
TRACKSEL	TRACK_SELECTION	TRACK_SELECTION	0x00006CBA	TRACK_SELECTION
TRANS	CHOOSE_TRANSMISSION	CHOOSE_TRANSMISSION	0x00005A17	CHOOSE_TRANSMISSION
UTIL	SETPAGE0	SETPAGE0	0x00008E76	SETPAGE0
WAVE	WAVE	WAVE	0x00009307	WAVE
WHEEL	NUWHEEL	NUWHEEL	0x0000AFF2	NUWHEEL
