label	label_norm	module	kind	address	status	src_first5	rom_first5
OACTIVEI	OACTIVEI		data	0x00000040	OK		
IDLE_LISTI	IDLE_LISTI		data	0x00000041	OK		
dnums_p	dnums_p@TEXT	TEXT	data	0x00000041	OK		
OACTIVE_PRIORITYI	OACTIVE_PRIORITYI		data	0x00000042	OK		
OLOW_PRIORITYI	OLOW_PRIORITYI@DIRQ	DIRQ	data	0x00000043	OK		
ommdfont_p	ommdfont_p@TEXT	TEXT	data	0x00000043	OK		
OHIGH_PRIORITYI	OHIGH_PRIORITYI		data	0x00000044	OK		
font18_p	font18_p@TEXT	TEXT	data	0x00000044	OK		
CAMERAPOSI	CAMERAPOSI		data	0x00000045	OK		
lgnum43_p	lgnum43_p@TEXT	TEXT	data	0x00000045	OK		
CAMERARADI	CAMERARADI		data	0x00000046	OK		
CAMERAMATRIXI	CAMERAMATRIXI		data	0x00000047	OK		
ASHADOW	ASHADOW		data	0x00000048	OK		
LIGHTIY	LIGHTIY		data	0x00000049	OK		
LOCTEMPER_MATI	LOCTEMPER_MATI		data	0x0000004A	OK		
transmatrixI	transmatrixI		data	0x0000004B	OK		
transvectorYI	transvectorYI		data	0x0000004C	OK		
POSTERMATI	POSTERMATI		data	0x0000004D	OK		
POSTERMAT2DI	POSTERMAT2DI@DIRQ	DIRQ	data	0x0000004E	OK		
BLOWLISTI	BLOWLISTI		data	0x0000004F	OK		
tmpmatI	tmpmatI		data	0x00000050	OK		
tmpmatY	tmpmatY		data	0x00000051	OK		
INVTABI	INVTABI		data	0x00000052	OK		
SCRNHXI	SCRNHXI		data	0x00000053	OK		
SCRNHYI	SCRNHYI		data	0x00000054	OK		
HIGH_CLIP_LEV8	HIGH_CLIP_LEV8		data	0x00000055	OK		
DRIVE_LISTI	DRIVE_LISTI		data	0x00000056	OK		
CAR_LISTI	CAR_LISTI		data	0x00000057	OK		
SIGN_LISTI	SIGN_LISTI		data	0x00000058	OK		
GROUND_LISTI	GROUND_LISTI		data	0x00000059	OK		
MATRIXAI	MATRIXAI		data	0x0000005A	OK		
MATRIXBI	MATRIXBI		data	0x0000005B	OK		
MATRIXCI	MATRIXCI		data	0x0000005C	OK		
VECTORAI	VECTORAI		data	0x0000005D	OK		
VECTORBI	VECTORBI		data	0x0000005E	OK		
VECTORCI	VECTORCI		data	0x0000005F	OK		
VECTORDI	VECTORDI		data	0x00000060	OK		
VECTORAYI	VECTORAYI@DIRQ	DIRQ	data	0x00000061	OK		
_PALLISTI	_PALLISTI		data	0x00000062	OK		
FASTSTKI	FASTSTKI		data	0x00000063	OK		
DIRQ	DIRQ		code	0x00000064	OK		
NEXTOBJ	NEXTOBJ@DIRQ	DIRQ	label	0x00000091	OK		
NOBREAK_CONTINUE	NOBREAK_CONTINUE@DIRQ	DIRQ	label	0x00000097	OK		
TRU_UNIV	TRU_UNIV@DIRQ	DIRQ	label	0x000000A3	OK		
TRANS_RET	TRANS_RET@DIRQ	DIRQ	label	0x000000A6	OK		
UNIV_ROT	UNIV_ROT@DIRQ	DIRQ	label	0x000000B0	OK		
TRIVIAL_REJECTION	TRIVIAL_REJECTION@DIRQ	DIRQ	label	0x000000BA	OK		
NO_DEGRADE	NO_DEGRADE@DIRQ	DIRQ	label	0x000000C5	OK		
