label	label_norm	module	kind	address	status	src_first5	rom_first5
COLORAM	COLORAM		data	0x00000000	OK		
_CAMERAMATRIX	_CAMERAMATRIX		data	0x00000000	OK		
_CAMERAPOS	_CAMERAPOS		data	0x00000000	OK		
_CAMERARAD	_CAMERARAD		data	0x00000000	OK		
_MATRIXA	_MATRIXA		data	0x00000000	OK		
_VECTORA	_VECTORA		data	0x00000000	OK		
vec_int0_display	vec_int0_display		data	0x00000001	OK		
vec_int1_tv30	vec_int1_tv30		data	0x00000002	OK		
vec_int2_comm	vec_int2_comm		data	0x00000003	OK		
vec_int3_atod	vec_int3_atod		data	0x00000004	OK		
vec_xint0	vec_xint0		data	0x00000005	OK		
vec_rint0	vec_rint0		data	0x00000006	OK		
vec_xint1	vec_xint1		data	0x00000007	OK		
vec_rint1	vec_rint1		data	0x00000008	OK		
vec_tint0	vec_tint0		data	0x00000009	OK		
vec_tint1	vec_tint1		data	0x0000000A	OK		
vec_dint	vec_dint		data	0x0000000B	OK		
vec_0C	vec_0C		data	0x0000000C	OK		
vec_0D	vec_0D		data	0x0000000D	OK		
vec_0E	vec_0E		data	0x0000000E	OK		
vec_0F	vec_0F		data	0x0000000F	OK		
vec_10	vec_10		data	0x00000010	OK		
vec_11	vec_11		data	0x00000011	OK		
vec_12	vec_12		data	0x00000012	OK		
vec_13	vec_13		data	0x00000013	OK		
vec_14	vec_14		data	0x00000014	OK		
vec_15	vec_15		data	0x00000015	OK		
vec_16	vec_16		data	0x00000016	OK		
vec_17	vec_17		data	0x00000017	OK		
vec_18	vec_18		data	0x00000018	OK		
vec_19	vec_19		data	0x00000019	OK		
vec_1A	vec_1A		data	0x0000001A	OK		
vec_1B	vec_1B		data	0x0000001B	OK		
vec_1C	vec_1C		data	0x0000001C	OK		
vec_1D	vec_1D		data	0x0000001D	OK		
vec_1E	vec_1E		data	0x0000001E	OK		
vec_1F	vec_1F		data	0x0000001F	OK		
vec_20	vec_20		data	0x00000020	OK		
vec_21	vec_21		data	0x00000021	OK		
vec_22	vec_22		data	0x00000022	OK		
vec_23	vec_23		data	0x00000023	OK		
vec_24	vec_24		data	0x00000024	OK		
vec_25	vec_25		data	0x00000025	OK		
vec_26	vec_26		data	0x00000026	OK		
vec_27	vec_27		data	0x00000027	OK		
vec_28	vec_28		data	0x00000028	OK		
vec_29	vec_29		data	0x00000029	OK		
vec_2A	vec_2A		data	0x0000002A	OK		
vec_2B	vec_2B		data	0x0000002B	OK		
vec_2C	vec_2C		data	0x0000002C	OK		
vec_2D	vec_2D		data	0x0000002D	OK		
vec_2E	vec_2E		data	0x0000002E	OK		
vec_2F	vec_2F		data	0x0000002F	OK		
vec_30	vec_30		data	0x00000030	OK		
vec_31	vec_31		data	0x00000031	OK		
vec_32	vec_32		data	0x00000032	OK		
vec_33	vec_33		data	0x00000033	OK		
vec_34	vec_34		data	0x00000034	OK		
vec_35	vec_35		data	0x00000035	OK		
vec_36	vec_36		data	0x00000036	OK		
vec_37	vec_37		data	0x00000037	OK		
vec_38	vec_38		data	0x00000038	OK		
vec_39	vec_39		data	0x00000039	OK		
vec_3A	vec_3A		data	0x0000003A	OK		
vec_3B	vec_3B		data	0x0000003B	OK		
vec_3C	vec_3C		data	0x0000003C	OK		
vec_3D	vec_3D		data	0x0000003D	OK		
vec_3E	vec_3E		data	0x0000003E	OK		
vec_3F	vec_3F		data	0x0000003F	OK		
OACTIVEI	OACTIVEI		data	0x00000040	OK		
IDLE_LISTI	IDLE_LISTI		data	0x00000041	OK		
dnums_p	dnums_p@TEXT	TEXT	data	0x00000041	OK		
OACTIVE_PRIORITYI	OACTIVE_PRIORITYI		data	0x00000042	OK		
OLOW_PRIORITYI	OLOW_PRIORITYI@DIRQ	DIRQ	data	0x00000043	OK		
ommdfont_p	ommdfont_p@TEXT	TEXT	data	0x00000043	OK		
OHIGH_PRIORITYI	OHIGH_PRIORITYI		data	0x00000044	OK		
font18_p	font18_p@TEXT	TEXT	data	0x00000044	OK		
CAMERAPOSI	CAMERAPOSI		data	0x00000045	OK		
lgnum43_p	lgnum43_p@TEXT	TEXT	data	0x00000045	OK		
CAMERAMATRIXI	CAMERAMATRIXI		data	0x00000047	OK		
ASHADOW	ASHADOW		data	0x00000048	OK		
LOCTEMPER_MATI	LOCTEMPER_MATI		data	0x0000004A	OK		
transmatrixI	transmatrixI		data	0x0000004B	OK		
transvectorYI	transvectorYI		data	0x0000004C	OK		
POSTERMATI	POSTERMATI		data	0x0000004D	OK		
POSTERMAT2DI	POSTERMAT2DI@DIRQ	DIRQ	data	0x0000004E	OK		
BLOWLISTI	BLOWLISTI		data	0x0000004F	OK		
tmpmatI	tmpmatI		data	0x00000050	OK		
tmpmatY	tmpmatY		data	0x00000051	OK		
INVTABI	INVTABI		data	0x00000052	OK		
SCRNHXI	SCRNHXI		data	0x00000053	OK		
SCRNHYI	SCRNHYI		data	0x00000054	OK		
HIGH_CLIP_LEV8	HIGH_CLIP_LEV8		data	0x00000055	OK		
DRIVE_LISTI	DRIVE_LISTI		data	0x00000056	OK		
CAR_LISTI	CAR_LISTI		data	0x00000057	OK		
SIGN_LISTI	SIGN_LISTI		data	0x00000058	OK		
GROUND_LISTI	GROUND_LISTI		data	0x00000059	OK		
MATRIXAI	MATRIXAI		data	0x0000005A	OK		
MATRIXBI	MATRIXBI		data	0x0000005B	OK		
MATRIXCI	MATRIXCI		data	0x0000005C	OK		
VECTORAI	VECTORAI		data	0x0000005D	OK		
VECTORBI	VECTORBI		data	0x0000005E	OK		
VECTORCI	VECTORCI		data	0x0000005F	OK		
VECTORAYI	VECTORAYI@DIRQ	DIRQ	data	0x00000061	OK		
PALLISTI	PALLISTI		data	0x00000062	OK		
_PALLISTI	_PALLISTI		data	0x00000062	OK		
FASTSTKI	FASTSTKI		data	0x00000063	OK		
DIRQ	DIRQ		code	0x00000064	OK		
NEXTOBJ	NEXTOBJ@DIRQ	DIRQ	label	0x00000091	OK		
NOBREAK_CONTINUE	NOBREAK_CONTINUE@DIRQ	DIRQ	label	0x00000097	OK		
TRANS_RET	TRANS_RET@DIRQ	DIRQ	label	0x000000A6	OK		
TRIVIAL_REJECTION	TRIVIAL_REJECTION@DIRQ	DIRQ	label	0x000000BA	OK		
NO_DEGRADE	NO_DEGRADE@DIRQ	DIRQ	label	0x000000C5	OK		
ROT3D	ROT3D@DIRQ	DIRQ	label	0x000000F6	OK		
CHECKTHEREG	CHECKTHEREG@DIRQ	DIRQ	label	0x000000FD	OK		
REGULAR	REGULAR@DIRQ	DIRQ	label	0x00000106	OK		
IDENTITY_ROTATION	IDENTITY_ROTATION@DIRQ	DIRQ	label	0x00000112	OK		
INLP1	INLP1@DIRQ	DIRQ	label	0x00000124	OK		
VECTORTRANSFULL	VECTORTRANSFULL@DIRQ	DIRQ	label	0x00000128	OK		
VT	VT@DIRQ	DIRQ	label	0x00000129	OK		
VTL	VTL@DIRQ	DIRQ	label	0x00000140	OK		
EOVCTR	EOVCTR@DIRQ	DIRQ	label	0x00000162	OK		
POLYPOLY_ENTER	POLYPOLY_ENTER@DIRQ	DIRQ	label	0x00000163	OK		
DISPLAY	DISPLAY@DIRQ	DIRQ	code	0x00000166	OK		
TRANS2D	TRANS2D@DIRQ	DIRQ	label	0x00000169	OK		
REGULAR1	REGULAR1@DIRQ	DIRQ	label	0x00000175	OK		
VTL2	VTL2@DIRQ	DIRQ	label	0x000001A0	OK		
EOVCTR2	EOVCTR2@DIRQ	DIRQ	label	0x000001BA	OK		
DYNAMIC_OBJECT	DYNAMIC_OBJECT@DIRQ	DIRQ	label	0x000001BC	OK		
DYNALOOP	DYNALOOP@DIRQ	DIRQ	label	0x000001CE	OK		
DYNREG	DYNREG@DIRQ	DIRQ	label	0x000001D0	OK		
DYNLP1	DYNLP1@DIRQ	DIRQ	label	0x000001F7	OK		
DYNALP	DYNALP@DIRQ	DIRQ	label	0x00000220	OK		
EODVCTR	EODVCTR@DIRQ	DIRQ	label	0x00000246	OK		
DYNALPX	DYNALPX@DIRQ	DIRQ	label	0x00000247	OK		
EOSVCTR	EOSVCTR@DIRQ	DIRQ	label	0x00000282	OK		
NOSHAD	NOSHAD@DIRQ	DIRQ	label	0x00000285	OK		
PLOTPOLY	PLOTPOLY@DIRQ	DIRQ	code	0x0000028D	OK		
PLOTPOLYLP	PLOTPOLYLP@DIRQ	DIRQ	label	0x000002C0	OK		
PLTPOLYLP	PLTPOLYLP@DIRQ	DIRQ	label	0x000002C0	OK		
POLYLP	POLYLP@DIRQ	DIRQ	label	0x000002FD	OK		
CLIPCK	CLIPCK@DIRQ	DIRQ	code	0x00000309	OK		
LPP2	LPP2@DIRQ	DIRQ	label	0x00000316	OK		
CKLP	CKLP@DIRQ	DIRQ	label	0x00000325	OK		
CLIP	CLIP@DIRQ	DIRQ	code	0x0000032F	OK		
