address	comment
0x00000068	LDP @SYSCNTLR
0x0000006A	SETDP
0x0000006C	LDP @_CAMERARAD+Y
0x0000006E	SETDP
0x0000007F	SETDP
0x00000082	SETDP
0x00000085	SETDP
0x00000088	SETDP
0x0000008C	LDP @SYSCNTLR
0x0000008E	SETDP
0x00000092	SETDP
0x000000EE	RS
0x00000143	LS
0x00000164	RS
0x000001A3	LS
0x000001C0	INC
0x000001C4	INC
0x00000225	LS
0x0000024B	RS
0x000002A1	LDP @FIFO_STATUS
0x0000044D	LDIL
0x0000044E	LDIL
0x0000044F	LDIL
0x00000454	LDP @FIFO_STATUS
0x000004A4	LDP @FIFO_STATUS
0x00000516	LDP @FIFO_STATUS
0x00000539	RS
0x00000558	LDP @FIFO_STATUS
0x00000581	RS
0x000005A1	LDIL
0x000005A2	LDIL
0x000005A3	LDIL
0x000005A5	LS
0x000005AC	RS
0x000005B0	RS
0x000005DE	CLRI
0x0000065F	LDL
0x00000660	LDIL
0x00000661	LDIL
0x00000662	LDIL
0x00000664	DEC
0x00000670	LDIL
0x00000671	LDIL
0x00000672	LDIL
0x00000679	LDP @FASTSTKI
0x0000067C	FIFO_CLRP
0x0000067D	FIFO_CLRP
0x0000067E	FIFO_CLRP
0x0000067F	FIFO_CLRP
0x00000680	FIFO_CLRP
0x00000681	DMA_WT
0x00000682	DMA_WT
0x00000683	DMA_WT
0x00000684	DMA_WT
0x00000685	DMA_WT
0x00000689	SETAUD
0x0000068A	SETAUD
0x00000692	LDL
0x00000694	CLRI
0x00000696	CLRI
0x0000069A	CLRI
0x0000069E	LDL
0x000006A4	LDL
0x000006A9	TEXTIT
0x000006AA	TEXTIT
0x000006AB	TEXTIT
0x000006AC	TEXTIT
0x000006B6	LDL
0x000006B8	LDIL
0x000006B9	LDIL
0x000006BA	LDIL
0x000006BF	LDIL
0x000006C0	LDIL
0x000006C1	LDIL
0x000006C6	LDIL
0x000006C7	LDIL
0x000006C8	LDIL
0x000006CD	LDIL
0x000006CE	LDIL
0x000006CF	LDIL
0x000006D7	CLRI
0x000006E3	CLRI
0x000006EE	CLRI
0x000006F1	LS
0x000006F6	LS
0x000006F7	LS
0x000006FD	CLRI
0x00000701	LS
0x00000704	CLRI
0x0000070B	CLRI
0x00000710	CLRI
0x0000071A	INC
0x0000071C	INC
0x0000071E	INC
0x0000072C	IWINDOW
0x0000072D	IWINDOW
0x0000072E	IWINDOW
0x0000072F	IWINDOW
0x00000730	IWINDOW
0x00000731	IWINDOW
0x00000732	IWINDOW
0x00000733	IWINDOW
0x00000734	IWINDOW
0x00000735	IWINDOW
0x00000736	IWINDOW
0x00000737	IWINDOW
0x00000738	IWINDOW
0x00000739	IWINDOW
0x0000073A	IWINDOW
0x0000073B	GROUP
0x0000073C	GROUP
0x0000073D	GROUP
0x0000073E	GROUP
0x0000073F	GROUP
0x00000740	GROUP
0x00000741	GROUP
0x00000742	GROUP
0x00000743	GROUP
0x00000744	GROUP
0x00000745	GROUP
0x00000746	GROUP
0x00000747	GROUP
0x00000748	GROUP
0x00000749	GROUP
0x0000074A	GROUP
0x0000074B	GROUP
0x0000074C	GROUP
0x0000074D	GROUP
0x0000074E	GROUP
0x0000074F	GROUP
0x00000750	GROUP
0x00000751	GROUP
0x00000752	GROUP
0x00000753	GROUP
