module	total_instruction_lines	covered_instruction_lines	uncovered_instruction_lines	coverage_pct	walk_complete	uncovered_ranges	walk_ranges
BONUS	1329	1329	0	100.00	yes		
CMOS	475	475	0	100.00	yes		
COLLA	2374	2374	0	100.00	yes		
COMM	698	698	0	100.00	yes		
COMP	278	278	0	100.00	yes		
CUSA	1196	1196	0	100.00	yes		
DELTA	144	144	0	100.00	yes		
DIRQ	1439	1439	0	100.00	yes		
ERROR	200	200	0	100.00	yes		
FONT1A	268	268	0	100.00	yes		
HPMATH	81	81	0	100.00	yes		
HUD	348	348	0	100.00	yes		
INFIN	465	465	0	100.00	yes		
LINE	206	206	0	100.00	yes		
OBJ	765	765	0	100.00	yes		
OVERLAY	138	138	0	100.00	yes		
PALL	348	348	0	100.00	yes		
PLYR	2065	2065	0	100.00	yes		
ROADBLCK	108	108	0	100.00	yes		
SIGMA	249	249	0	100.00	yes		
WHEEL	87	87	0	100.00	yes		
SND	531	486	45	91.53	no	63-69, 71-75, 77-81, 83-87, 90-92, 98-100, 103-104, 107-108, 123-125, 153-157, 160-164	
MATH	558	505	53	90.50	no	359-379, 1118-1119, 1122-1130, 1132-1140, 1142-1150, 1152-1154	
MPROC	213	187	26	87.79	no	49, 452-456, 458-459, 461-466, 468-469, 521, 528-530, 535-536, 560-563	
ROUTS	278	236	42	84.89	no	69-71, 73-74, 76, 82-84, 96-100, 105-107, 109-111, 113-115, 117-119, 121, 128-131, 136-138, 144-145, 147-150, 707-708	
AUDITS	108	91	17	84.26	no	65-70, 72, 74, 76-77, 89-93, 95-96	
BACKGRND	1277	1049	228	82.15	no	1357-1359, 1362-1364, 1366-1369, 1371-1373, 1375-1377, 1379-1381, 1384-1389, 1392-1393, 1395-1396, 1398-1401, 1403-1405, 1407-1409, 1411-1413, 1418-1421, 1423-1426, 1429-1432, 1434-1437, 1440-1442, 1444-1446, 1448-1452, 1458-1463, 1465, 1472-1480, 1484-1492, 1516-1521, 1523-1526, 1532-1537, 1539-1542, 1550-1555, 1557, 1559-1573, 1586, 1588-1590, 1592-1597, 1607-1610, 1612-1613, 1615-1616, 1618-1620, 1622-1624, 1626-1632, 1634-1635, 1637-1638, 1640-1641, 1643, 1656-1660, 1662-1663, 1665-1668, 1670-1671, 1673-1675, 1678, 1712-1717, 1719-1723, 1725-1726, 1728-1729, 1731-1745, 1747-1749, 1752-1755	
DIAG	2092	1715	377	81.98	no	2503-2508, 2510-2511, 2513, 2523-2528, 2530-2531, 2533, 2541-2542, 2544-2546, 2548-2550, 2559-2560, 2562-2564, 2566-2568, 2577-2578, 2580-2582, 2584-2586, 2593-2594, 2596-2598, 2600-2602, 2609-2610, 2612-2614, 2616-2618, 2624-2625, 2627-2629, 2631-2633, 2647-2648, 2650-2654, 2656-2658, 2675-2678, 2680-2683, 2685-2686, 2688, 2849-2850, 2852-2855, 2857-2859, 2861-2863, 2902-2903, 2905-2908, 2910-2912, 2914-2916, 2921-2927, 2939-2940, 2942-2945, 2947-2948, 2950-2952, 2957-2960, 2962-2966, 2974-2975, 2977-2980, 2982-2983, 2985-2987, 2990-2996, 3004-3005, 3007-3010, 3012-3013, 3015-3017, 3029-3032, 3034-3037, 3039-3040, 3043-3047, 3052-3058, 3088, 3293-3295, 3297-3301, 3303-3310, 3313, 3331-3336, 3338-3340, 3342-3344, 3346-3349, 3351-3353, 3355-3356, 3358-3362, 3364, 3366, 3370-3372, 3374-3376, 3378, 3403-3407, 3805-3807, 3810-3815, 3817-3829, 3835-3837, 3840-3845, 3847-3859, 3865-3868, 3874-3876, 3878-3883, 3885-3887, 3889-3891, 3893-3895, 3897-3899, 3901, 3909-3911, 3914-3919, 3921-3923, 3925-3927, 3929-3931, 3933-3935, 3937, 3944-3946, 3948-3953, 3956-3964, 3966, 3968-3970, 3972-3977, 3979-3987, 3991	
