symbol	base	module	count	status_counts	resolved_ea	example_ea	example_line
GET_CREDITS_TO_START@COIN	GET_CREDITS_TO_START	COIN	7	missing:7		0x00001D85	CODE:00001D85                 call    GET_CREDITS_TO_START@COIN
GET_CREDITS_TO_CONTINUE@COIN	GET_CREDITS_TO_CONTINUE	COIN	6	missing:6		0x00001E7E	CODE:00001E7E                 call    GET_CREDITS_TO_CONTINUE@COIN
LAST_ZF@MOTION	LAST_ZF	MOTION	4	missing:4		0x00004806	CODE:00004806                 ldi     @LAST_ZF@MOTION,r1
GET_COIN1@COIN	GET_COIN1	COIN	3	missing:3		0x0000734A	CODE:0000734A                 call    GET_COIN1@COIN
GET_COIN2_COUNTER@COIN	GET_COIN2_COUNTER	COIN	3	missing:3		0x00007354	CODE:00007354                 call    GET_COIN2_COUNTER@COIN
GET_UNITS_PER_CREDIT@COIN	GET_UNITS_PER_CREDIT	COIN	3	missing:3		0x00007399	CODE:00007399                 call    GET_UNITS_PER_CREDIT@COIN
LAST_XL@MOTION	LAST_XL	MOTION	3	missing:3		0x00004830	CODE:00004830                 ldi     @LAST_XL@MOTION,r1
LAST_YR@MOTION	LAST_YR	MOTION	3	missing:3		0x0000481B	CODE:0000481B                 ldi     @LAST_YR@MOTION,r1
GET_COIN1_COUNTER@COIN	GET_COIN1_COUNTER	COIN	2	missing:2		0x00007344	CODE:00007344                 call    GET_COIN1_COUNTER@COIN
GET_COIN2@COIN	GET_COIN2	COIN	2	missing:2		0x00007361	CODE:00007361                 call    GET_COIN2@COIN
GET_COIN3@COIN	GET_COIN3	COIN	2	missing:2		0x0000736D	CODE:0000736D                 call    GET_COIN3@COIN
GET_COIN3_COUNTER@COIN	GET_COIN3_COUNTER	COIN	2	missing:2		0x00007367	CODE:00007367                 call    GET_COIN3_COUNTER@COIN
GET_COIN4@COIN	GET_COIN4	COIN	2	missing:2		0x00007379	CODE:00007379                 call    GET_COIN4@COIN
GET_COIN4_COUNTER@COIN	GET_COIN4_COUNTER	COIN	2	missing:2		0x00007373	CODE:00007373                 call    GET_COIN4_COUNTER@COIN
GET_MIN_UNITS@COIN	GET_MIN_UNITS	COIN	2	missing:2		0x00007396	CODE:00007396                 call    GET_MIN_UNITS@COIN
GET_SHOW_PARTIAL@COIN	GET_SHOW_PARTIAL	COIN	2	missing:2		0x00007422	CODE:00007422                 call    GET_SHOW_PARTIAL@COIN
GET_UNITS_FOR_BONUS@COIN	GET_UNITS_FOR_BONUS	COIN	2	missing:2		0x000073B4	CODE:000073B4                 call    GET_UNITS_FOR_BONUS@COIN
MOTION_NOT_ON@MOTION	MOTION_NOT_ON	MOTION	2	missing:2		0x000047B5	CODE:000047B5                 ldi     @MOTION_NOT_ON@MOTION,r0
ENDED_ptr_0099C7FC@MOTION	ENDED_ptr_0099C7FC	MOTION	1	missing:1		0x000048DC	CODE:000048DC                 ldi     @ENDED_ptr_0099C7FC@MOTION,ar2 ; LDL
lgnum43_coolyelo_ptr_0099B255@INTRO	lgnum43_coolyelo_ptr_0099B255	INTRO	1	missing:1		0x00001D4E	CODE:00001D4E                 ldi     @lgnum43_coolyelo_ptr_0099B255@INTRO,ar2 ; LDL
LIGHTIY	LIGHTIY		1	missing:1		0x000005CC	CODE:000005CC                 ldi     @LIGHTIY,ar5
MOTION_CMDSTR_ptr_0099C7E9@MOTION	MOTION_CMDSTR_ptr_0099C7E9	MOTION	1	missing:1		0x0000484E	CODE:0000484E                 ldi     @MOTION_CMDSTR_ptr_0099C7E9@MOTION,ar1 ; LDL
MOTION_CMDSTR_ptr_0099C7EA@MOTION	MOTION_CMDSTR_ptr_0099C7EA	MOTION	1	missing:1		0x00004850	CODE:00004850                 ldi     @MOTION_CMDSTR_ptr_0099C7EA@MOTION,ar0 ; LDL
MOTION_CMDSTR_ptr_0099C7EC@MOTION	MOTION_CMDSTR_ptr_0099C7EC	MOTION	1	missing:1		0x00004853	CODE:00004853                 ldi     @MOTION_CMDSTR_ptr_0099C7EC@MOTION,ar0 ; LDL
MOTION_CMDSTR_ptr_0099C7F0@MOTION	MOTION_CMDSTR_ptr_0099C7F0	MOTION	1	missing:1		0x0000485D	CODE:0000485D                 ldi     @MOTION_CMDSTR_ptr_0099C7F0@MOTION,ar1 ; LDL
MOTION_CMDSTR_ptr_0099C7F1@MOTION	MOTION_CMDSTR_ptr_0099C7F1	MOTION	1	missing:1		0x0000485F	CODE:0000485F                 ldi     @MOTION_CMDSTR_ptr_0099C7F1@MOTION,ar0 ; LDL
MOTION_CMDSTR_ptr_0099C7F3@MOTION	MOTION_CMDSTR_ptr_0099C7F3	MOTION	1	missing:1		0x00004862	CODE:00004862                 ldi     @MOTION_CMDSTR_ptr_0099C7F3@MOTION,ar0 ; LDL
MOTION_CMDSTR_ptr_0099C7F7@MOTION	MOTION_CMDSTR_ptr_0099C7F7	MOTION	1	missing:1		0x0000486C	CODE:0000486C                 ldi     @MOTION_CMDSTR_ptr_0099C7F7@MOTION,ar1 ; LDL
MOTION_CMDSTR_ptr_0099C7F8@MOTION	MOTION_CMDSTR_ptr_0099C7F8	MOTION	1	missing:1		0x0000486E	CODE:0000486E                 ldi     @MOTION_CMDSTR_ptr_0099C7F8@MOTION,ar0 ; LDL
MOTION_CMDSTR_ptr_0099C7FA@MOTION	MOTION_CMDSTR_ptr_0099C7FA	MOTION	1	missing:1		0x00004871	CODE:00004871                 ldi     @MOTION_CMDSTR_ptr_0099C7FA@MOTION,ar0 ; LDL
PXC1_ptr_0099C7F6@MOTION	PXC1_ptr_0099C7F6	MOTION	1	missing:1		0x0000486B	CODE:0000486B                 ldi     @PXC1_ptr_0099C7F6@MOTION,ar0 ; LDL
PXC2_ptr_0099C7FB@MOTION	PXC2_ptr_0099C7FB	MOTION	1	missing:1		0x00004872	CODE:00004872                 ldi     @PXC2_ptr_0099C7FB@MOTION,ar1 ; LDL
PYC1_ptr_0099C7EF@MOTION	PYC1_ptr_0099C7EF	MOTION	1	missing:1		0x0000485C	CODE:0000485C                 ldi     @PYC1_ptr_0099C7EF@MOTION,ar0 ; LDL
PYC2_ptr_0099C7F4@MOTION	PYC2_ptr_0099C7F4	MOTION	1	missing:1		0x00004863	CODE:00004863                 ldi     @PYC2_ptr_0099C7F4@MOTION,ar1 ; LDL
PZC1_ptr_0099C7E8@MOTION	PZC1_ptr_0099C7E8	MOTION	1	missing:1		0x0000484D	CODE:0000484D                 ldi     @PZC1_ptr_0099C7E8@MOTION,ar0 ; LDL
PZC2_ptr_0099C7ED@MOTION	PZC2_ptr_0099C7ED	MOTION	1	missing:1		0x00004854	CODE:00004854                 ldi     @PZC2_ptr_0099C7ED@MOTION,ar1 ; LDL
RAMTEST_END_ptr_0080C7A2@MEMTEST	RAMTEST_END_ptr_0080C7A2	MEMTEST	1	missing:1		0x00006574	CODE:00006574                 ldi     @RAMTEST_END_ptr_0080C7A2@MEMTEST,ar1 ; LDL
sPOTVALUE_ptr_0099C7E7@MOTION	sPOTVALUE_ptr_0099C7E7	MOTION	1	missing:1		0x0000484B	CODE:0000484B                 ldi     @sPOTVALUE_ptr_0099C7E7@MOTION,ar2 ; LDL
sPOTVALUE_ptr_0099C7EB@MOTION	sPOTVALUE_ptr_0099C7EB	MOTION	1	missing:1		0x00004851	CODE:00004851                 ldi     @sPOTVALUE_ptr_0099C7EB@MOTION,ar1 ; LDL
sPOTVALUE_ptr_0099C7EE@MOTION	sPOTVALUE_ptr_0099C7EE	MOTION	1	missing:1		0x0000485A	CODE:0000485A                 ldi     @sPOTVALUE_ptr_0099C7EE@MOTION,ar2 ; LDL
sPOTVALUE_ptr_0099C7F2@MOTION	sPOTVALUE_ptr_0099C7F2	MOTION	1	missing:1		0x00004860	CODE:00004860                 ldi     @sPOTVALUE_ptr_0099C7F2@MOTION,ar1 ; LDL
sPOTVALUE_ptr_0099C7F5@MOTION	sPOTVALUE_ptr_0099C7F5	MOTION	1	missing:1		0x00004869	CODE:00004869                 ldi     @sPOTVALUE_ptr_0099C7F5@MOTION,ar2 ; LDL
sPOTVALUE_ptr_0099C7F9@MOTION	sPOTVALUE_ptr_0099C7F9	MOTION	1	missing:1		0x0000486F	CODE:0000486F                 ldi     @sPOTVALUE_ptr_0099C7F9@MOTION,ar1 ; LDL
THEPROGL_ptr_0099C7FF@MOTION	THEPROGL_ptr_0099C7FF	MOTION	1	missing:1		0x00004969	CODE:00004969                 ldi     @THEPROGL_ptr_0099C7FF@MOTION,ar4 ; LDL
XQ_ptr_0099C7FD@MOTION	XQ_ptr_0099C7FD	MOTION	1	missing:1		0x000048DF	CODE:000048DF                 ldi     @XQ_ptr_0099C7FD@MOTION,ar2 ; LDL
XQ_ptr_0099C7FE@MOTION	XQ_ptr_0099C7FE	MOTION	1	missing:1		0x00004961	CODE:00004961                 ldi     @XQ_ptr_0099C7FE@MOTION,ar2 ; LDL
_MODE	_MODE		132	direct:132	0x0000C8F5	0x000000F0	CODE:000000F0                 ldi     @_MODE,r0
MATRIXAI	MATRIXAI		59	direct:59	0x0000005A	0x000001E3	CODE:000001E3                 ldi     @MATRIXAI,ar2
NFRAMES	NFRAMES		43	direct:43	0x0000C95F	0x00001DC5	CODE:00001DC5                 float   @NFRAMES,r1
byte_995000	byte_995000		36	direct:36	0x00995000	0x00009169	CODE:00009169                 sti     r0,@byte_995000 ; STPI
